indicator_id,indicator_name,display_name,building_block_id,weight_in_block,covers_problems,input_derived_fields,has_internal_gate,gate_condition,gate_action,justification,threshold_summary,data_availability_by_device_type
L3I_CP_001,cp_position_sigma_score,Per-point Receiver Sigma,BB_CP_COMPLETE,0.45,#30,sigma_relative_to_target;sigma_available;sigma_expected_for_device,FALSE,,,SHEET (gap G; primary universal anchor),"PRIMARY INDICATOR. σ available: σ_h ≤ accuracy_target → 100; 1-2× target → 70 + FLAG: CP_SIGMA_MARGINAL; 2-5× → 30 + FLAG: CP_SIGMA_HIGH; >5× → 0 + FLAG: CP_SIGMA_REJECT. σ absent AND expected → 50 + FLAG: CP_SIGMA_NOT_EXPORTED (user can re-export). σ absent AND not expected (device limit) → N/A, weight redistributes to other category-A indicators.",CB_X: ✓ / Trimble: ✓ usually / Emlid: ✓ usually / OTHER: variable (graceful degradation)
L3I_CP_002,cp_fix_type_score,Per-point Fix Type at Capture,BB_CP_COMPLETE,0.3,#1,fix_type_at_capture,TRUE,"fix_type_at_capture IN {FLOAT, AUTONOMOUS}",Sets per-point completeness sub-score = 0. FLAGS: CP_FLOAT_ACCEPTED_AS_FIXED or CP_AUTONOMOUS_ACCEPTED. Severity escalates to CATASTROPHIC when effective_check_point_count < 5.,SHEET,"FIXED → 100; FLOAT → 0 + CP_FLOAT_ACCEPTED_AS_FIXED (CRITICAL, escalates to CAT if N<5); AUTONOMOUS → 0 + CP_AUTONOMOUS_ACCEPTED.",CB_X: ✓ / Trimble: ✓ (solution-status flag) / Emlid: ✓ / OTHER: usually ✓
L3I_CP_003,cp_correction_age_score,Per-point Correction Age,BB_CP_COMPLETE,0.15,#3,correction_age_at_capture_sec,FALSE,,,SHEET,"≤2s → 100; 2-5s → 88; 5-15s → 60 + CP_STALE_CORRECTION; 15-30s → 30 + CP_STALE_CORRECTION; >30s → 0 + CP_CORRECTION_LOST. When absent (not in export) → N/A, weight redistributes.",CB_X: ✓ / Trimble: ⚠ partial (often absent in JXL export) / Emlid: ⚠ partial / OTHER: typically absent
L3I_CP_004,cp_log_integrity_score,Per-point Log Download & Signature,BB_CP_COMPLETE,0.1,"#23, #24",session_integrity_ok;raw_log_download_confirmed;raw_log_signature_valid;device_type,FALSE,,,SHEET,downloaded AND signature valid (CB_X / Trimble where available) → 100; downloaded AND signature N/A (Emlid / OTHER) → 80; download unconfirmed → 50 + CP_LOG_DOWNLOAD_UNCONFIRMED; signature invalid → 30 + CP_LOG_TAMPERED.,CB_X: ✓ signed / Trimble: ✓ partial signed / Emlid: ⚠ unsigned / OTHER: typically unsigned
L3I_CP_005,cp_antenna_height_documented_score,Per-point Antenna Height Documentation,BB_CP_SETUP,0.4,#10,antenna_height_auto_known;antenna_measurement_type;measured_to_reference;height_measured_count;antenna_height_agreement,TRUE,antenna_height_m absent AND antenna_height_auto_known=False,Sets per-point setup sub-score = 0. FLAG: CP_POINT_ANTENNA_HEIGHT_MISSING.,SHEET (mirrors GCP #6),antenna_height_auto_known=True (CB_X / AEROPOINT) → 100 (factory-known). device_type=DGPS / OTHER: VERTICAL AND ARP AND count≥3 AND device-report agreement → 100; single VERTICAL → 88; SLANT → 72; conflict with device-reported → 55 (review); no height entered → 0 + gate.,CB_X / AEROPOINT: ✓ factory / DGPS: ✓ operator / OTHER: ✓ operator
L3I_CP_006,cp_pole_stability_score,Per-point Pole/Rod Stability,BB_CP_SETUP,0.2,#25,tilt_verifiable;tilt_logged_deg;tilt_compensation_used,FALSE,,,SHEET (split per device_type),Tilt-comp-capable device (CB_X / R12+ / RS3+) with logged tilt: tilt ≤2° → 100; 2-4° → 70; >4° → 30 + CP_HIGH_TILT. Older/hand-held: tilt_compensation_used boolean is ADVISORY ONLY (operator-declarative cannot be verified) → 70 (unconfirmed); if explicitly False → 50.,CB_X (tilt-comp): ✓ verifiable / Trimble R12+: ✓ verifiable / Emlid RS3+: ✓ verifiable / Older devices: declarative advisory only
L3I_CP_007,cp_baseline_length_score,Per-point Baseline to Base/CORS,BB_CP_SETUP,0.15,#9,baseline_length_km,FALSE,,,SHEET (geography-relevant),≤5km → 100; 5-10km → 88; 10-20km → 70 + CP_LONG_BASELINE; 20-40km → 40 + CP_EXCESSIVE_BASELINE; >40km → 20 + CP_EXCESSIVE_BASELINE. Particularly relevant in regions with patchy CORS coverage (e.g. India).,CB_X: ✓ / Trimble: ✓ / Emlid: ✓ / OTHER: variable
L3I_CP_008,cp_ntrip_mountpoint_score,Per-point NTRIP Mountpoint Match,BB_CP_SETUP,0.1,#27,mountpoint_match;ntrip_mountpoint;expected_mountpoint,FALSE,,,SHEET,mountpoint_match=True → 100; mountpoint_match=False → 40 + CP_UNEXPECTED_MOUNTPOINT; expected_mountpoint not declared → 70 (unconfirmed).,CB_X: ✓ / Trimble: ✓ / Emlid: ✓ / OTHER: typically ✓
L3I_CP_009,cp_antenna_type_match_score,Per-point Antenna Type Consistency,BB_CP_SETUP,0.1,#11,antenna_type_match,FALSE,,,RTK consistency check,Match → 100; mismatch → 60 + CP_ANTENNA_TYPE_MISMATCH (MEDIUM). Sub-cm to ~3 cm vertical impact for typical short-baseline drone-survey targets.,CB_X: ✓ / Trimble: ✓ / Emlid: ✓ / OTHER: variable
L3I_CP_010,cp_device_id_match_score,Per-point Device ID Provenance,BB_CP_SETUP,0.05,#12,device_id_match,FALSE,,,"SHEET (provenance, not accuracy)","Match → 100; mismatch → 60 + CP_DEVICE_ID_MISMATCH (MEDIUM provenance, reviewer-blocking); either side missing → 70 (unconfirmed).",CB_X: ✓ / Trimble: ✓ / Emlid: ✓ / OTHER: variable
L3I_CP_011,cp_pdop_at_capture_score,Per-point PDOP at Capture Epoch,BB_CP_ENV,0.4,#28,pdop_at_capture,FALSE,,,SHEET,≤2 → 100; 2-4 → 80; 4-6 → 55; >6 → 30 + CP_HIGH_PDOP. Distinct from multipath — captures sky geometry at the capture moment.,CB_X: ✓ / Trimble: ✓ / Emlid: ✓ / OTHER: variable
L3I_CP_012,cp_fix_hold_score,Per-point Fix Hold Duration,BB_CP_ENV,0.25,#2,fix_hold_duration_sec,FALSE,,,SHEET,"≥5s held FIXED → 100; 1-4s → 60 + CP_SHORT_FIX_HOLD; <1s → 30 + CP_NO_FIX_HOLD. When absent → N/A, weight redistributes.",CB_X: ✓ / Trimble: ⚠ partial / Emlid: ⚠ partial / OTHER: typically N/A
L3I_CP_013,cp_obstruction_score,Per-point Sky Obstruction,BB_CP_ENV,0.2,#21,sat_count_at_capture;cn0_mean_at_capture,FALSE,,,SHEET,sats ≥10 AND CN0 ≥40 dBHz → 100; sats 7-9 OR CN0 30-40 → 70; sats <7 OR CN0 <30 → 35 + CP_HIGH_MULTIPATH. Less able to detect multipath than PPK (no extended observation to compute variance).,CB_X: ✓ / Trimble: ✓ / Emlid: ✓ / OTHER: variable
L3I_CP_014,cp_ionospheric_risk_score,Per-point Ionospheric Risk,BB_CP_ENV,0.15,#22,kp_index;dual_freq_available,FALSE,,,SHEET (with documented Kp limitation),Kp ≤4 OR dual_freq → 100; Kp 5-6 single-freq → 60; Kp ≥7 single-freq → 40 + CP_IONO_RISK. KNOWN LIMITATION: Kp under-detects equatorial scintillation (relevant for India); long-term roadmap to S4/ROTI source.,External NOAA SWPC dependency; same for all device types
