indicator_id,indicator_name,display_name,building_block_id,weight_in_block,covers_problems,input_derived_fields,has_internal_gate,gate_condition,gate_action,justification,threshold_summary,evidence_required,applies_to_paths,view_only,used_by_views,used_by_score
L3I_PP_001,ref_frame_declared_score,CRS / Datum Declaration vs Project,BB_PP_REF,0.3,#1,crs_match_project,TRUE,crs_match_project=False,reference_frame_score=0; FLAG: PP_WRONG_CRS_DATUM (CATASTROPHIC). Zeros pre_processing_score.,SHEET,declared CRS/datum matches project across all artifacts → 100; mismatch → 0 + FLAG: PP_WRONG_CRS_DATUM.,declared_manifest,ALL_PATHS,,,
L3I_PP_002,geoid_model_declared_score,Geoid Model Declaration vs Project,BB_PP_REF,0.2,#2,geoid_match_project,FALSE,,,SHEET,declared geoid matches project + consistent across artifacts → 100; mismatch → 0 + FLAG: PP_GEOID_MISMATCH.,declared_manifest,ALL_PATHS,,,
L3I_PP_003,height_mode_declared_score,Height Mode Declaration,BB_PP_REF,0.15,#3,height_mode_consistency,FALSE,,,SHEET,all artifacts same height_mode AND matches project → 100; inconsistent → 30 + FLAG: PP_HEIGHT_MODE_INCONSISTENT; project mismatch → 0 + FLAG: PP_HEIGHT_MODE_WRONG.,declared_manifest,ALL_PATHS,,,
L3I_PP_004,projection_declared_score,Projection Declaration vs Survey Location,BB_PP_REF,0.1,#7,projection_match_location,TRUE,projection_match_location=False,reference_frame_score=0; FLAG: PP_WRONG_PROJECTION (CATASTROPHIC). Zeros pre_processing_score.,SHEET,projection consistent with site bounding box → 100; mismatch → 0 + FLAG: PP_WRONG_PROJECTION.,declared_manifest,ALL_PATHS,,,
L3I_PP_005,output_crs_metadata_score,Output CRS Metadata in Artifacts,BB_PP_REF,0.1,#6,output_crs_metadata_present,FALSE,,,SHEET,CRS metadata present in each artifact AND matches declared → 100; missing → 50 + FLAG: PP_OUTPUT_CRS_MISSING; mismatch → 0 + FLAG: PP_OUTPUT_CRS_MISMATCH.,artifact_only,ALL_PATHS,,,
L3I_PP_006,units_declared_score,Units Declaration vs Project,BB_PP_REF,0.05,#8,units_match_project,FALSE,,,SHEET,units declared + match project + consistent → 100; mismatch → 0 + FLAG: PP_UNITS_MISMATCH.,declared_manifest,ALL_PATHS,,,
L3I_PP_007,customer_coord_crs_declared_score,Customer-Supplied Coord CRS,BB_PP_REF,0.05,#4,customer_coord_crs_consistent,FALSE,,,SHEET,customer-supplied GCP file declares CRS + matches project → 100; missing → 30 + FLAG: PP_CUSTOMER_COORDS_NO_CRS; mismatch → 0 + FLAG: PP_CUSTOMER_COORDS_WRONG_CRS. N/A when not customer-supplied (weight redistributes).,declared_manifest,CUSTOMER_SUPPLIED,,,
L3I_PP_008,localization_disclosed_score,Site Localization Disclosure,BB_PP_REF,0.02,#5,localization_disclosed,FALSE,,,SHEET,localization disclosed (whether applied or not) → 100; not disclosed → 60 + FLAG: PP_LOCALIZATION_UNDISCLOSED (HIGH).,declared_manifest,ALL_PATHS,,,
L3I_PP_009,provenance_consistency_score,Realization/Epoch Provenance Consistency,BB_PP_REF,0.01,#42,provenance_realization_consistent,FALSE,,,SHEET,all control declares same realization/epoch → 100; mixed → 50 + FLAG: PP_MIXED_PROVENANCE.,declared_manifest,ALL_PATHS,,,
L3I_PP_010,base_pairing_score,Drone-Base File Pairing,BB_PP_GEO,0.25,#33,drone_session_within_base_window,FALSE,,,SHEET (silent CATASTROPHIC inside block — heavily weighted),drone session within base window AND base_file_id matches → 100; outside OR mismatched → 0 + FLAG: PP_WRONG_BASE_PAIRED.,artifact_only,LOCAL_BASE_PPK,,,
L3I_PP_011,geotag_solution_quality_score,PPK Solution Quality (Per-Image),BB_PP_GEO,0.2,#9,fraction_geotags_fixed,FALSE,,,SHEET,fraction Q=1 ≥0.95 → 100; 0.80-0.95 → 70 + FLAG: PP_GEOTAG_PARTIAL_FIX; <0.80 → 30 + FLAG: PP_GEOTAG_POOR_FIX; <0.50 → 0 + FLAG: PP_GEOTAG_NOT_FIXED.,artifact_only,LOCAL_BASE_PPK / CORS / CLOUD,,,
L3I_PP_012,geotag_completeness_score,Geotag Completeness vs Captures,BB_PP_GEO,0.15,#10,geotag_completeness_fraction,FALSE,,,SHEET,≥0.99 → 100; 0.95-0.99 → 80; 0.80-0.95 → 50 + FLAG: PP_GEOTAGS_INCOMPLETE; <0.80 → 0 + FLAG: PP_GEOTAGS_SEVERELY_INCOMPLETE.,artifact_only,ALL_PATHS,,,
L3I_PP_013,geotag_baseline_score,Baseline to Base/CORS (Drone PPK),BB_PP_GEO,0.1,#11,baseline_length_km,FALSE,,,SHEET,≤5km → 100; 5-10km → 88; 10-20km → 70 + FLAG: PP_LONG_BASELINE; 20-40km → 40 + FLAG: PP_EXCESSIVE_BASELINE; >40km → 20.,declared_manifest,LOCAL_BASE_PPK / CORS,,,
L3I_PP_014,session_overlap_score,Drone-Base Session Overlap,BB_PP_GEO,0.1,#13,session_overlap_fraction,FALSE,,,SHEET,=1.0 → 100; 0.95-1.0 → 80; 0.80-0.95 → 50 + FLAG: PP_PARTIAL_BASE_OVERLAP; <0.80 → 30 + FLAG: PP_INSUFFICIENT_OVERLAP.,artifact_only,LOCAL_BASE_PPK / CORS,,,
L3I_PP_015,overlap_texture_score,Image Overlap / Tie-Point Density,BB_PP_GEO,0.08,#37,overlap_texture_proxy,FALSE,,,SHEET (mining-specific gap),declared overlap ≥75/65 → 100; 65-75/55-65 → 70; <65/<55 → 40 + FLAG: PP_SPARSE_TIEPOINTS_RISK. Tie-point density (report) replaces declared when available.,declared_manifest,ALL_PATHS,,,
L3I_PP_016,antenna_pco_score,Antenna PCO Declaration vs Actual,BB_PP_GEO,0.05,#14,antenna_pco_match,FALSE,,,SHEET,match → 100; mismatch → 50 + FLAG: PP_ANTENNA_PCO_MISMATCH.,declared_manifest,LOCAL_BASE_PPK / CORS,,,
L3I_PP_017,sensor_metadata_consistency_score,Sensor Metadata Cross-Check,BB_PP_GEO,0.03,#34,sensor_metadata_consistent,FALSE,,,SHEET,EXIF camera = manifest = flight log → 100; any mismatch → 50 + FLAG: PP_SENSOR_METADATA_MISMATCH.,artifact_only,ALL_PATHS,,,
L3I_PP_018,cors_data_continuity_score,CORS Data Continuity During Flight,BB_PP_GEO,0.02,#12,cors_data_continuity,FALSE,,,SHEET,continuous → 100; minor gaps → 70 + FLAG: PP_CORS_MINOR_GAP; major gaps → 30 + FLAG: PP_CORS_MAJOR_GAP. Advisory when report absent (weight redistributes within block).,detailed_manifest_with_report,CORS,,,
L3I_PP_019,time_sync_residual_score,Drone-Base Time-Sync Residuals,BB_PP_GEO,0.01,#15,time_sync_residual_magnitude,FALSE,,,SHEET,<100ms → 100; 100ms-1s → 70 + FLAG: PP_TIME_SYNC_DRIFT; >1s → 30 + FLAG: PP_TIME_SYNC_SEVERE. Advisory when report absent.,detailed_manifest_with_report,ALL_PATHS,,,
L3I_PP_020,monsoon_flight_artifact_score,Adverse Flight Conditions Declaration,BB_PP_GEO,0.01,#41,flight_conditions_adverse,FALSE,,,SHEET (cross-handoff to drone chain),declared adverse → flag PP_FLIGHT_CONDITION_RISK (advisory) → 70; clear → 100. Cross-handoff to drone chain documented.,declared_manifest,ALL_PATHS,,,
L3I_PP_021,gcp_sigma_score,GCP Coordinate Sigma vs Target,BB_PP_GCT,0.3,#16,gcp_sigma_relative_to_target,FALSE,,,SHEET (primary trust anchor — per-point with mean − k·worst),per-GCP: σ_h ≤ target → 100; 1-2× → 70 + FLAG: PP_GCP_SIGMA_MARGINAL; 2-5× → 30 + FLAG: PP_GCP_SIGMA_HIGH; >5× → 0 + FLAG: PP_GCP_SIGMA_REJECT. Aggregated via mean − 0.25 × (100 − min).,artifact_only,ALL_PATHS,,,
L3I_PP_022,gcp_processing_path_score,GCP Processing Path Acceptable,BB_PP_GCT,0.25,#17,gcp_path_acceptable,TRUE,gcp_path_acceptable=False,GCP Coord Trust block = 0; FLAG: PP_GCP_AUTONOMOUS_PATH (CATASTROPHIC). Zeros pre_processing_score.,SHEET,AUTONOMOUS → 0 + FLAG: PP_GCP_AUTONOMOUS_PATH; LOCAL_BASE_PPK / CORS / CLOUD / PUBLISHED_BENCHMARK → 100; CUSTOMER_SUPPLIED → GCT3 takes over.,declared_manifest,ALL_PATHS,,,
L3I_PP_023,gcp_customer_accuracy_declared_score,Customer-Supplied GCP Accuracy Declaration,BB_PP_GCT,0.15,#18,gcp_customer_accuracy_adequate,FALSE,,,SHEET,declared + meets target → 100; declared but inadequate → 30 + FLAG: PP_GCP_CUSTOMER_INADEQUATE; not declared → 30 + FLAG: PP_GCP_CUSTOMER_NO_ACCURACY_CLAIM (CRITICAL reviewer-blocking). N/A when not customer-supplied (weight redistributes).,declared_manifest,CUSTOMER_SUPPLIED,,,
L3I_PP_024,gcp_id_reconciliation_score,GCP ID Cross-Artifact Consistency,BB_PP_GCT,0.1,#19,gcp_id_reconciliation,FALSE,,,SHEET,all match → 100; minor → 70 + FLAG: PP_GCP_ID_PARTIAL_MISMATCH; major → 30 + FLAG: PP_GCP_ID_MISMATCH.,artifact_only,ALL_PATHS,,,
L3I_PP_025,gcp_coord_age_score,GCP Coord Determination Date Staleness,BB_PP_GCT,0.1,#21,gcp_coord_age_days,FALSE,,,SHEET,<30d → 100; 30-180d → 80; 180-365d → 50 + FLAG: PP_GCP_COORDS_AGED; >365d → 30 + FLAG: PP_GCP_COORDS_STALE. N/A when not customer-supplied.,declared_manifest,CUSTOMER_SUPPLIED,,,
L3I_PP_026,coord_parse_sanity_score,Coordinate Parse Sanity (axis swap / decimal),BB_PP_GCT,0.05,#40,coord_parse_bbox_sanity,FALSE,,,SHEET (concrete sibling of #24),parsed coords within declared bounding box → 100; out-of-box / axis-swap signature → 0 + FLAG: PP_COORD_MISPARSE.,artifact_only,ALL_PATHS,,,
L3I_PP_027,gcp_residual_score,GCP Residuals from Processing Report,BB_PP_GCT,0.03,#20,gcp_residuals_within_tolerance,FALSE,,,SHEET,all within tolerance → 100; few outliers → 70 + FLAG: PP_GCP_RESIDUAL_OUTLIERS; many → 30 + FLAG: PP_GCP_RESIDUAL_FAILURES. Advisory when report absent (weight redistributes within block).,detailed_manifest_with_report,LOCAL_BASE_PPK / CORS,,,
L3I_PP_028,cors_station_health_score,CORS Station Health During Observation,BB_PP_GCT,0.02,#22,cors_station_health_acceptable,FALSE,,,SHEET,good → 100; degraded → 50 + FLAG: PP_CORS_STATION_DEGRADED; poor → 0 + FLAG: PP_CORS_STATION_UNHEALTHY. Advisory when report absent.,detailed_manifest_with_report,CORS,,,
L3I_PP_029,gcp_count_score,GCP Count vs Reconstruction Extent,BB_PP_SD,0.4,#27,gcp_count_adequate,FALSE,,,SHEET,adequate ratio → 100; marginal → 70 + FLAG: PP_GCP_COUNT_MARGINAL; insufficient → 30 + FLAG: PP_GCP_COUNT_INSUFFICIENT.,artifact_only,ALL_PATHS,,,
L3I_PP_030,gcp_distribution_score,GCP Spatial Distribution,BB_PP_SD,0.35,#28,gcp_distribution_coverage,FALSE,,,SHEET,≥80% extent coverage → 100; partial → 60 + FLAG: PP_GCP_CLUSTERED; severely clustered → 30 + FLAG: PP_GCP_SEVERELY_CLUSTERED.,artifact_only,ALL_PATHS,,,
L3I_PP_031,target_visibility_score,Target Pixel Visibility at GSD,BB_PP_SD,0.15,#31,target_pixels_at_gsd,FALSE,,,SHEET,≥3 px → 100; 2-3 → 60 + FLAG: PP_TARGET_MARGINAL; <2 → 30 + FLAG: PP_TARGET_INVISIBLE.,artifact_only,ALL_PATHS,,,
L3I_PP_032,vegetation_dtm_declared_score,Vegetation / DTM Reliability,BB_PP_SD,0.05,#38,vegetation_dtm_risk,FALSE,,,SHEET,vegetated + DTM-claimed → 30 + FLAG: PP_VEG_DTM_UNRELIABLE (advisory); else 100.,declared_manifest,ALL_PATHS,,,
L3I_PP_033,software_version_score,Processing Software Version,BB_PP_SD,0.05,#35,software_version_in_buggy_list,FALSE,,,SHEET (v1: advisory only; v2 once buggy-list maintained),"v1: declared → 100; in buggy list → flag PP_BUGGY_SOFTWARE_VERSION (advisory, zero scoring weight in v1). v2: real scoring.",declared_manifest,ALL_PATHS,,,
L3I_PP_034,settings_consistency_score,Manifest-Declared vs Report-Actual Settings (Approach 2),BB_PP_REF,0.02,#36,settings_declared_vs_actual_consistent,FALSE,,,SHEET,manifest-declared settings match processing-report-actual → 100; mismatch → 30 + FLAG: PP_SETTINGS_DECLARED_ACTUAL_MISMATCH. Advisory only when report absent (weight redistributes within block).,detailed_manifest_with_report,ALL_PATHS,,,
L3I_PP_035,cp_sigma_score,CP Coordinate Sigma vs Target,,,#23,cp_sigma_relative_to_target,FALSE,,,SHEET (parallels gcp_sigma_score; per-point primary with mean − 0.25 × (100 − min)),per-CP: σ_h ≤ accuracy_target → 100; 1-2× → 70 + FLAG: PP_CP_SIGMA_MARGINAL; 2-5× → 30 + FLAG: PP_CP_SIGMA_HIGH; >5× → 0 + FLAG: PP_CP_SIGMA_REJECT. Aggregated mean − 0.25 × (100 − min) across all CPs.,artifact_only,ALL_PATHS,TRUE,cp_coord_artifact_score,verification_status (numeric input)
L3I_PP_036,cp_count_score,CP Designated Count Adequacy,,,#29,cp_designated_count,FALSE,,,SHEET (ASPRS minimum guidance),cp_count ≥20 → 100; 10-19 → 80; 5-9 → 60 + FLAG: PP_CP_COUNT_STATISTICAL_WEAK; 1-4 → 30 + FLAG: PP_CP_COUNT_INSUFFICIENT; 0 → 0 + FLAG: PP_NO_CHECK_POINTS.,artifact_only,ALL_PATHS,TRUE,cp_coord_artifact_score,verification_status (numeric input)
L3I_PP_037,cp_distribution_score,CP Spatial Distribution,,,#30,cp_distribution_coverage,FALSE,,,SHEET,CP coverage ≥80% of extent → 100; 60-80% → 70 + FLAG: PP_CP_CLUSTERED; <60% → 30 + FLAG: PP_CP_SEVERELY_CLUSTERED.,artifact_only,ALL_PATHS,TRUE,cp_coord_artifact_score,verification_status (numeric input)
L3I_PP_038,cp_gcp_independence_score,CP-GCP Spatial Independence,,,#25,cp_gcp_spatial_independence,FALSE,,,SHEET (tunable threshold — correlation length scales with GSD/density/terrain),min CP-GCP distance ≥50m → 100; 10-50m → 70 + FLAG: PP_CP_GCP_TOO_CLOSE; <10m → 30 + FLAG: PP_CP_GCP_OVERLAPPING.,artifact_only,ALL_PATHS,TRUE,cp_coord_artifact_score,verification_status (numeric input)
