indicator_id,indicator_name,display_name,building_block_id,weight_in_block,covers_problems,input_derived_fields,has_internal_gate,gate_condition,gate_action,justification,threshold_summary,evidence_required
L3I_PROC_001,ba_reprojection_score,Bundle Adjustment Reprojection Error,BB_PROC_BA,0.2,#1,ba_reprojection_relative,FALSE,,,SHEET,≤1.5 pix → 100; 1.5-2.5 → 70 + PROC_BA_REPROJ_ELEVATED; 2.5-3.5 → 30 + PROC_BA_REPROJ_HIGH; >3.5 → 0 + PROC_BA_CONVERGENCE_FAIL.,report_required
L3I_PROC_002,camera_alignment_score,Camera Alignment Success Rate,BB_PROC_BA,0.2,#2,camera_alignment_fraction,FALSE,,,SHEET,aligned/total ≥0.98 → 100; 0.95-0.98 → 70 + PROC_CAMERAS_PARTIAL_ALIGN; 0.90-0.95 → 30 + PROC_CAMERAS_POOR_ALIGN; <0.90 → 0 + PROC_CAMERAS_SEVERE_ALIGN_FAIL.,report_required
L3I_PROC_003,camera_position_ensemble_score,Camera Position Ensemble Error (v1),BB_PROC_BA,0.15,#8,camera_position_relative_to_gsd,FALSE,,,SHEET (v1 ensemble; per-camera outliers deferred to v2),total_err / GSD ≤ 2× → 100; 2-4× → 70 + PROC_CAMERA_POS_ELEVATED; 4-8× → 30; >8× → 0 + PROC_CAMERA_POS_SEVERE. Per-camera outlier detection requires v2 visual analysis of Camera Locations ellipse map.,report_required
L3I_PROC_004,optimization_completeness_score,BA Optimization Parameter Completeness,BB_PROC_BA,0.1,#6,optimization_params_completeness,FALSE,,,SHEET,"all 10 params {f,b1,b2,cx,cy,k1-k3,p1,p2} present → 100; b1/b2 missing → 90 + PROC_OPTIMIZATION_INCOMPLETE (softened per v1.0 pressure-test: missing b1/b2 is minor optimization preference, not major quality differentiator); more missing → 70; severely incomplete → 30.",report_required
L3I_PROC_005,precalibration_loaded_score,Precalibration Loading Consistency,BB_PROC_BA,0.1,#4,precalibration_loaded_match,FALSE,,,SHEET,"manifest expectation matches report → 100; mismatch (expected loaded, report shows ""No"") → 30 + PROC_PRECALIB_NOT_LOADED.",report_and_manifest_required
L3I_PROC_006,camera_model_consistency_score,Camera Model Cross-Source Match,BB_PROC_BA,0.1,#5,camera_model_match,FALSE,,,SHEET,manifest camera model matches report → 100; mismatch → 30 + PROC_CAMERA_MODEL_MISMATCH.,report_and_manifest_required
L3I_PROC_007,self_calibration_quality_score,Self-Calibration Quality (Compound),BB_PROC_BA,0.1,#3,self_calibration_compound_condition,FALSE,,,SHEET (v0.2 reviewer fix: compound condition to avoid universal flagging),precalibrated=Yes → 100; precalibrated=No AND |K| <0.90 → 100; |K| 0.90-0.95 → 70; >0.95 AND degraded reprojection/CP residuals → 30 + PROC_SELF_CALIB_ILL_CONDITIONED (advisory).,report_required
L3I_PROC_008,max_reproj_outlier_score,Max Reprojection Outlier Ratio (Advisory),BB_PROC_BA,0.05,#7,max_reproj_to_rms_ratio,FALSE,,,SHEET (v0.2 reviewer fix: advisory weight),max/rms ≤10 → 100; 10-20 → 70 + PROC_REPROJ_OUTLIERS (advisory); 20-50 → 50; >50 → 30 + PROC_REPROJ_SEVERE_OUTLIERS (advisory). Almost always elevated in practice — keep advisory.,report_required
L3I_PROC_009,alignment_accuracy_setting_score,Alignment Accuracy Setting,BB_PROC_IM,0.2,#11,alignment_accuracy_setting_class,FALSE,,,SHEET,Highest/High → 100; Medium → 50 + PROC_ALIGNMENT_ACCURACY_LOW; Low/Lowest → 0 + PROC_ALIGNMENT_ACCURACY_CRITICAL.,report_required
L3I_PROC_010,depth_quality_setting_score,Depth Map Quality Setting,BB_PROC_IM,0.2,#12,depth_quality_setting_class,FALSE,,,SHEET,High/Ultra → 100; Medium → 60 + PROC_DEPTH_QUALITY_MEDIUM (advisory); Low/Lowest → 20 + PROC_DEPTH_QUALITY_LOW.,report_required
L3I_PROC_011,tiepoint_density_score,Tie Point Density per km²,BB_PROC_IM,0.15,#9,tiepoint_density_per_km2,FALSE,,,SHEET,≥3M/km² → 100; 1-3M → 70 + PROC_SPARSE_TIEPOINTS; 0.5-1M → 30 + PROC_VERY_SPARSE_TIEPOINTS; <0.5M → 0.,report_required
L3I_PROC_012,tiepoint_multiplicity_score,Average Tie Point Multiplicity,BB_PROC_IM,0.1,#10,tiepoint_multiplicity_value,FALSE,,,SHEET,≥4 → 100; 3-4 → 70 + PROC_LOW_MULTIPLICITY; 2.5-3 → 30 + PROC_VERY_LOW_MULTIPLICITY; <2.5 → 0.,report_required
L3I_PROC_013,filtering_mode_appropriateness_score,Depth Filtering Mode vs Site Type,BB_PROC_IM,0.1,#13,filtering_mode_site_match,FALSE,,,SHEET,"match (flat-structured=Mild, vegetated=Aggressive, mining-pit=Moderate) → 100; mismatch → 50 + PROC_FILTERING_INSUFFICIENT or PROC_FILTERING_OVERSMOOTHED.",report_and_manifest_required
L3I_PROC_014,marker_image_coverage_score,Per-Marker Image Triangulation Strength,BB_PROC_IM,0.1,#14,marker_image_count_per_marker,FALSE,,,SHEET (borderline-included per user decision),per-marker: ≥5 images → 100; 3-4 → 50 + PROC_MARKER_WEAK; <3 → 0 + PROC_MARKER_INSUFFICIENT_IMAGES. Aggregate via mean − 0.25 × (100 − min).,report_required
L3I_PROC_015,localized_reconstruction_score,Localized Reconstruction Collapse (v1 partial),BB_PROC_IM,0.1,#37,localized_reconstruction_v1_proxy,FALSE,,,SHEET (v1 partial / v2 full per v0.2 reviewer),v1: IF tiepoint_density <1M/km² OR DEM has visible voids → 50 + PROC_LOCALIZED_RECON_COLLAPSE (advisory). v2: density-map parsing for honest spatial detection. **Documented v1 limitation — full detection requires v2.**,report_required
L3I_PROC_016,atmospheric_artifact_composite_score,Atmospheric Artifact Composite (Advisory),BB_PROC_IM,0.05,#15,atmospheric_artifact_composite,FALSE,,,SHEET (cross-handoff),Composite condition → 50 + PROC_ATMOSPHERIC_ARTIFACT_SUSPECTED (advisory cross-handoff to drone chain).,report_required
L3I_PROC_017,cp_rmse_score,Check-Point RMSE vs Accuracy Target (Moment-of-Truth),BB_PROC_CV,0.35,#20,cp_rmse_relative_to_target,FALSE,,,SHEET (PRIMARY moment-of-truth indicator),cp_rmse/target ≤1 → 100 + verification_status=VERIFIED_RESIDUALS_PASS; 1-2× → 60 + VERIFIED_RESIDUALS_MARGINAL + PROC_CP_RMSE_MARGINAL; >2× → 0 + VERIFIED_RESIDUALS_FAIL + PROC_CP_RMSE_FAIL. N/A when 0 CPs.,report_and_manifest_required
L3I_PROC_018,gcp_rmse_score,GCP RMSE vs Accuracy Target,BB_PROC_CV,0.15,#19,gcp_rmse_relative_to_target,FALSE,,,SHEET,≤target → 100; 1-2× → 70 + PROC_GCP_RMSE_MARGINAL; 2-5× → 30 + PROC_GCP_RMSE_HIGH; >5× → 0 + PROC_GCP_RMSE_REJECT. N/A when 0 GCPs.,report_and_manifest_required
L3I_PROC_019,per_cp_outlier_score,Per-CP Residual Outliers,BB_PROC_CV,0.1,#22,per_cp_outlier_ratio,FALSE,,,SHEET (covers PP#32 target washed away + CP#14 mark disturbed),per-CP: cp_total/mean ≤1.5 → 100; 1.5-2 → 70 + PROC_CP_OUTLIER_MILD; 2-3 → 30 + PROC_CP_OUTLIER_SEVERE; >3 → 0 + PROC_CP_OUTLIER_REJECT. Aggregate via mean − 0.25 × (100 − min).,report_required
L3I_PROC_020,marker_role_consistency_score,Marker Role Cross-Source Consistency,BB_PROC_CV,0.08,#25,marker_role_match,FALSE,,,SHEET (covers CP#26 + CP#29 + GCP#21),all markers match → 100; any mismatch → 30 + PROC_ROLE_MISMATCH (CRITICAL). Both directions covered (CP→GCP or GCP→CP).,report_and_manifest_required
L3I_PROC_021,gcp_coord_consistency_score,GCP Coordinate Cross-Source Match,BB_PROC_CV,0.07,#26,gcp_coord_match,FALSE,,,SHEET (covers GCP#12 typo),per-GCP match within noise → 100; any mismatch beyond noise → 30 + PROC_GCP_TYPO.,report_and_pp_handoff_required
L3I_PROC_022,cp_count_statistical_score,CP Count Statistical Sufficiency,BB_PROC_CV,0.06,#24,cp_count_value,FALSE,,,SHEET,≥20 → 100; 10-19 → 80; 5-9 → 60 + PROC_CP_COUNT_STATISTICAL_WEAK; 1-4 → 30 + PROC_CP_COUNT_INSUFFICIENT; 0 → 0 + verification_status=UNVERIFIED_NO_CPS.,report_required
L3I_PROC_023,gcp_count_in_bundle_score,GCP Count Used in Bundle,BB_PROC_CV,0.05,#18,reportGCP_control_points_count,FALSE,,,SHEET,≥5 → 100; 3-4 → 50 + PROC_GCP_COUNT_MARGINAL; <3 → 0 + PROC_GCP_COUNT_INSUFFICIENT (also fires PROC_NO_GCPS_USED if 0).,report_required
L3I_PROC_024,gcp_bundle_distribution_score,GCP Spatial Distribution in Bundle,BB_PROC_CV,0.04,#27,gcp_bundle_distribution_coverage,FALSE,,,SHEET,coverage ≥80% extent → 100; 60-80% → 60 + PROC_GCPS_CLUSTERED_IN_BUNDLE; <60% → 30 + PROC_GCPS_SEVERELY_CLUSTERED.,report_required
L3I_PROC_025,gcp_vertical_coverage_score,GCP Vertical Coverage of Terrain,BB_PROC_CV,0.03,#28,gcp_vertical_coverage_ratio,FALSE,,,SHEET,z_spread_gcps / z_range_terrain ≥0.6 → 100; 0.3-0.6 → 60 + PROC_GCPS_NO_VERTICAL_COVERAGE_MARGINAL; <0.3 → 30 + PROC_GCPS_NO_VERTICAL_COVERAGE.,report_required
L3I_PROC_026,z_xy_residual_ratio_score,Z/XY Residual Ratio,BB_PROC_CV,0.03,#21,z_xy_residual_ratio,FALSE,,,SHEET,z/xy ≤1.5 → 100; 1.5-2 → 70 + PROC_Z_XY_HIGH; >2 → 30 + PROC_Z_XY_SEVERE.,report_required
L3I_PROC_027,per_marker_pix_error_score,Per-Marker Image Pixel Error,BB_PROC_CV,0.02,#23,per_marker_pix_outlier_ratio,FALSE,,,SHEET,per-marker: pix_err/mean ≤1.5 → 100; 1.5-2 → 70 + PROC_MARKER_PIX_HIGH; >2 → 30 + PROC_MARKER_PIX_SEVERE.,report_required
L3I_PROC_028,reconstruction_drift_composite_score,Reconstruction Drift Composite (Diagnostic),BB_PROC_CV,0.01,#29,reconstruction_drift_composite,FALSE,,,SHEET (covers GCP#22),"Composite condition (adequate GCPs + good GCP RMSE + bad CP RMSE) → 50 + PROC_RECONSTRUCTION_DRIFT (HIGH, diagnostic).",report_and_manifest_required
L3I_PROC_029,no_markers_at_all_flag_score,Zero Markers Flag,BB_PROC_CV,0.01,#16,markers_total_zero,FALSE,,,SHEET (flag-only weight),Markers > 0 → 100; Markers = 0 → 0 + PROC_NO_MARKERS_AT_ALL (CATASTROPHIC flag-only — score still computes from PPK-anchored bundle).,report_required
L3I_PROC_030,no_gcps_used_flag_score,Zero GCPs Used Flag (Advisory Wrapper),BB_PROC_CV,0.0,#17,gcps_used_zero,FALSE,,,SHEET (zero weight; flag also handled in CV7),0 control points → PROC_NO_GCPS_USED (CRITICAL flag-only). Zero weight as score; flag fires loudly.,report_required
L3I_PROC_031,output_crs_project_match_score,Output CRS vs Project Requirement,BB_PROC_DO,0.3,#31,output_crs_project_match,TRUE,output_crs_project_match=False,deliverable_output_score=0; FLAG: PROC_OUTPUT_CRS_MISMATCH (CATASTROPHIC). Zeros processing_score via block.,SHEET,match → 100; mismatch → 0 + PROC_OUTPUT_CRS_MISMATCH (HARD GATE on Deliverable Output block).,report_and_manifest_required
L3I_PROC_032,output_crs_projection_score,Output CRS Geographic vs Projected,BB_PROC_DO,0.2,#30,output_crs_is_projected,FALSE,,,SHEET,"projected EPSG → 100; geographic (e.g., EPSG:4326) → 30 + PROC_OUTPUT_CRS_GEOGRAPHIC (CRITICAL).",report_required
L3I_PROC_033,internal_transform_consistency_score,Internal Transform Consistency,BB_PROC_DO,0.15,#36,internal_transform_match,FALSE,,,SHEET (silent-invisible failure; distinct from CRS label check),match → 100; mismatch → 0 + PROC_INTERNAL_TRANSFORM_WRONG (CRITICAL). Distinct from DO1 (label) — this is the applied transform.,report_and_pp_handoff_required
L3I_PROC_034,dtm_classification_score,DTM Ground Classification Run,BB_PROC_DO,0.1,#39,dtm_classification_consistency,FALSE,,,SHEET,DTM not claimed → 100 (N/A); DTM claimed AND classification ran → 100; DTM claimed AND no classification → 30 + PROC_DSM_LABELLED_DTM.,report_and_manifest_required
L3I_PROC_035,dem_void_interpolation_score,DEM Void Interpolation Fraction,BB_PROC_DO,0.08,#38,dem_void_interpolation_fraction,FALSE,,,SHEET (version-dependent field),low interpolation fraction → 100; high → 30 + PROC_DEM_INTERPOLATED_VOIDS (HIGH). Version-dependent: Agisoft v2+ reports void stats; older may not.,report_required
L3I_PROC_036,dem_resolution_score,DEM Resolution vs GSD,BB_PROC_DO,0.07,#32,dem_to_gsd_ratio,FALSE,,,SHEET,dem/gsd 1-3× → 100; 3-5× → 70 + PROC_DEM_RES_COARSE; 5-10× → 30 + PROC_DEM_RES_VERY_COARSE; >10× → 0.,report_required
L3I_PROC_037,deliverable_completeness_score,Deliverable File Set Completeness,BB_PROC_DO,0.05,#34,deliverable_completeness,FALSE,,,SHEET,all declared deliverables present → 100; some missing → flag PROC_DELIVERABLE_FILE_MISSING; affected per-deliverable views in v1.1 return null with file_missing reason.,manifest_and_deliverables_required
L3I_PROC_038,software_version_score,Software Version Check,BB_PROC_DO,0.05,#33,software_version_class,FALSE,,,SHEET (v1 advisory only; v2 with maintained list),"v1: declared baseline matches → 100; unknown → 60; in known-buggy list (v2) → 30 + PROC_SOFTWARE_VERSION_BUGGY (advisory in v1, zero scoring weight).",report_required
